name;ra;dec;GAL_LONG;GAL_LAT;flux;fluxerr;velcenter;velerr;w50max;velerr;w20max;velerr;DLG;MHI;a
J1930+1211;19:30:33;12:11:48;48,2;-2,9;2.8;0,4;6680;6;211;12;251;18;99,2;9,8;a
J2028+2223;20:28:50;22:23:24;64,2;-9,4;2.8;0,5;10322;5;410;10;431;15;143,3;10,1;a
J1811-0004;18:11:37;-00:04:06;28,4;8,9;2.8*;1,4;1687;8;120;16;134;24;24,6;8,6;a
J1935+0639;19:35:30;06:39:36;43,9;-6,7;2.8*;1,3;5927;17;105;33;160;50;84,5;9,7;a
J1840+2441;18:40:18;24:41:04;54,1;13,3;2.9;0,6;4561;2;253;5;258;7;63,1;9,4;a
J1845+2754;18:45:28;27:54:53;57,6;13,5;2.9;0,5;4681;4;186;8;205;12;69,0;9,5;a
J1735+0609;17:35:19;06:09:32;29,7;19,7;2.9*;1,1;6500;8;211;17;226;25;90,1;9,8;a
J1942-0002;19:42:46;-00:02:38;38,9;-11,4;2.9*;0,9;5738;7;139;13;160;20;83,5;9,7;a
J1949+3112;19:49:00;31:12:31;66,9;2,7;2.9*;1,1;5136;8;152;17;170;25;76,5;9,6;a
J1759+0708\footnotemark[2];17:59:08;07:08:01;33,4;14,9;20.5*;2,8;1889;4;199;9;224;13;24,4;9,5;a
J1957+0553;19:57:18;05:53:30;45,9;-11,8;20*;2,6;3244;5;464;9;486;14;49,2;10,1;a
J1728+0725\footnotemark[2];17:28:12;07:25:00;30,1;21,9;22.1*;4,0;1694;4;122;9;144;13;28,3;9,6;a
J2006+3505;20:06:38;35:05:16;72,1;1,6;23.5*;7,0;690;7;111;14;133;20;9,9;8,7;a
J1837+2624;18:37:25;26:24:56;55,5;14,6;26.4;1,7;3199;3;275;6;308;8;47,3;10,1;a
J1920+0016;19:20:32;00:16:47;36,5;-6,3;3.0*;1,0;1267;6;136;13;155;19;14,1;8,2;a
J1943-0111;19:43:23;-01:11:14;38,2;-11,9;3.0*;1,2;1420;15;168;30;214;45;21,9;8,5;a
J1951+0131;19:51:59;01:31:27;41,3;-12,7;3.0*;0,9;1263;8;79;16;114;24;16,0;8,3;a
J1824+1220;18:24:42;12:20:23;41,0;11,5;3.1;0,6;5563;6;280;13;304;19;79,1;9,7;a
J1840+2340a;18:40:42;23:40:47;53,2;12,8;3.1;0,4;3697;3;159;6;175;8;53,7;9,3;a
J1900+2240;19:00:06;22:40:31;54,2;8,3;3.1;0,4;4049;3;196;5;207;8;59,2;9,4;a
J1810-0105;18:10:46;-01:05:15;27,4;8,6;3.1*;1,2;2108;7;139;15;153;22;27,9;8,8;a
J1904+0301;19:04:12;03:01:51;37,1;-1,5;3.1*;0,7;3284;9;69;17;172;26;46,6;9,2;a
J1837+1155;18:37:38;11:55:19;42,1;8,4;3.2;0,7;3579;5;73;10;99;15;53,3;9,3;a
J1857+1329;18:57:37;13:29:09;45,7;4,8;3.2;0,6;8100;5;163;11;192;16;115,9;10,0;a
J1925+1345;19:25:36;13:45:39;49,0;-1,1;3.2;0,4;6668;5;201;9;231;14;93,6;9,8;a
J1932+1330;19:32:37;13:30:28;49,6;-2,8;3.2;0,5;4906;3;238;6;248;10;72,4;9,6;a
J2008+0839;20:08:59;08:39:32;49,9;-12,9;3.2;0,4;5332;5;197;11;242;16;74,5;9,6;a
J1910+3340;19:10:30;33:40:29;65,3;11,0;3.2*;1,2;6218;10;202;20;222;29;88,9;9,8;a
J2007+3019;20:07:03;30:19:37;68,2;-1,1;3.2*;1,1;4313;8;221;16;242;24;59,9;9,4;a
J1911+2112;19:11:28;21:12:22;54,1;5,3;3.3;0,5;5024;4;397;8;410;12;70,3;9,6;a
J1917+0748;19:17:24;07:48:51;42,8;-2,2;3.3;0,6;3034;5;226;10;247;15;45,5;9,2;a
J1905+2700;19:05:15;27:00:35;58,7;9,2;3.4;0,6;4737;5;198;10;217;15;64,1;9,5;a
J1925+2056;19:25:59;20:56:51;55,4;2,2;3.4;0,4;7536;4;352;7;367;11;109,9;10,0;a
J2027+0806;20:27:27;08:06:02;51,8;-17,1;3.4;0,5;4698;5;309;9;327;14;66,4;9,6;a
J1833+0333;18:33:23;03:33:34;34,1;5,6;3.4*;1,0;5256;8;207;16;230;24;76,7;9,7;a
J1912+1323;19:12:37;13:23:41;47,2;1,5;3.5;0,4;2776;2;112;5;132;7;39,6;9,1;a
J1922+0818;19:22:01;08:18:16;43,8;-2,9;3.5;0,5;3111;6;126;13;190;19;45,2;9,2;a
J1932+2249;19:32:33;22:49:28;57,8;1,7;3.5;0,5;7140;4;198;9;221;13;101,3;9,9;a
J1933+1042;19:33:52;10:42:31;47,3;-4,4;3.5;0,6;5242;5;257;11;282;16;75,2;9,7;a
J1919+3725;19:19:34;37:25:22;69,5;11,0;3.5*;1,2;6050;16;169;32;242;48;86,4;9,8;a
J1837+1223;18:37:06;12:23:29;42,4;8,7;3.6;0,4;3687;2;142;4;153;7;56,0;9,4;a
J1837+1958;18:37:15;19:58:38;49,4;12,0;3.6;0,5;5851;2;358;5;364;7;80,9;9,7;a
J1906+1256;19:06:16;12:56:33;46,1;2,6;3.6;0,6;2715;5;302;11;325;16;35,6;9,0;a
J1919+1405;19:19:59;14:05:00;48,7;0,2;3.6;0,5;2808;5;156;11;194;16;35,9;9,0;a
J2001+2659;20:01:27;26:59:49;64,7;-1,8;3.6;0,5;3140;3;214;6;229;10;43,9;9,2;a
J2054+2401;20:54:56;24:01:31;69,2;-13,4;3.6;0,5;3522;5;106;10;164;15;50,7;9,3;a
J1819+1439;18:19:58;14:39:15;42,7;13,5;3.7;0,5;5174;6;122;12;175;18;71,4;9,6;a
J1828+1123;18:28:43;11:23:49;40,6;10,2;3.7;0,6;2949;4;188;8;212;12;41,4;9,2;a
J1735+0658;17:35:50;06:58:01;30,6;20,0;3.7*;1,0;6539;10;243;20;274;30;92,0;9,9;a
J1758+0041;17:58:59;00:41:13;27,5;12,0;3.8*;1,2;3898;12;64;23;142;35;58,2;9,5;a
J1826+0134;18:26:31;01:34:42;31,5;6,3;3.8*;1,2;2756;7;148;13;164;20;39,7;9,2;a
J1933+3458;19:33:18;34:58:38;68,6;7,4;3.8*;1,3;4484;18;158;36;262;55;63,1;9,6;a
J2043+3117;20:43:37;31:17:43;73,5;-6,9;3.8*;1,1;4144;12;147;24;210;37;56,0;9,4;a
J2138+2949;21:38:28;29:49:46;80,4;-16,7;3.8*;1,4;4981;16;133;32;204;48;73,4;9,7;a
J1921+1453;19:21:35;14:53:57;49,6;0,3;3.9;0,6;4080;5;76;11;134;16;55,7;9,5;a
J1938+0731;19:38:45;07:31:54;45,1;-7,0;3.9*;1,0;3131;8;180;16;209;24;47,7;9,3;a
J2102+3020;21:02:23;30:20:47;75,3;-10,7;3.9*;1,3;2978;16;113;32;197;47;42,6;9,2;a
J1759+0617;17:59:29;06:17:00;32,7;14,4;34.1*;4,0;1808;5;243;10;281;16;24,8;9,7;a
