tabla,velcenter
SoFiA,9026.82348109172
SoFiA,8934.83459354836
SoFiA,8904.52199252739
SoFiA,8903.22607712374
SoFiA,8853.19192311991
SoFiA,8868.86110220219
SoFiA,8838.55061179262
SoFiA,8817.96370813306
SoFiA,8779.19599781741
SoFiA,8763.60702196859
SoFiA,8754.26123466036
SoFiA,8756.63778310412
SoFiA,8648.19667964664
SoFiA,8717.43739745015
SoFiA,8667.45811934286
SoFiA,8667.89079468122
SoFiA,8680.39827787647
SoFiA,8659.24573035995
SoFiA,8671.32264882826
SoFiA,8651.30349963709
SoFiA,8589.30217895807
SoFiA,8630.50131361405
SoFiA,8579.46884041491
SoFiA,8529.32704522932
SoFiA,8580.16956340187
SoFiA,8481.15656109746
SoFiA,8570.87654137882
SoFiA,8583.92645170555
SoFiA,8581.52035470207
SoFiA,8507.5518673479
SoFiA,8520.68198090806
SoFiA,8410.89008615039
SoFiA,8418.5621586132
SoFiA,8416.40089253288
SoFiA,8430.28660497662
SoFiA,8432.50274695351
SoFiA,8424.2882473592
SoFiA,8398.48813352545
SoFiA,8424.80323654238
SoFiA,8369.50099646779
SoFiA,8410.72756907206
SoFiA,8392.76204477945
SoFiA,8168.0705756602
SoFiA,8206.5681277158
SoFiA,8220.10347866605
SoFiA,8335.43361775454
SoFiA,8309.36334566074
SoFiA,8329.9502493203
SoFiA,8288.37331522255
SoFiA,8255.6567278095
SoFiA,8173.31122378268
SoFiA,8220.6986710827
SoFiA,8196.32955178258
SoFiA,8195.78923526251
SoFiA,8165.15371069634
SoFiA,8158.64247450711
SoFiA,8165.96418547643
